name,url,thumbnail,rating,total_ratings,price,currency,currency_symbol,is_sponsored,past_month_bought
"iRobot Roomba i3+ EVO (3554) Robot Vacuum - Self-Empty for Up to 60 Days, Clean by Room with Smart Mapping, Compatible with Alexa, Personalized Cleaning ",https://www.amazon.com/iRobot-Roomba-EVO-Robot-Vacuum/dp/B0CNL2KCVR,https://m.media-amazon.com/images/I/71tScKweUsL._AC_UY218_.jpg,4.2,13631,392.95,USD,$,False,2K+
"Robot Vacuum Cleaner with 3000Pa Cyclone Suction, APP/Voice/Remote Control, Automatic Self-Charging Robotic Vacuum, Scheduled Cleaning, Ideal for Pet Hair, Hard Floor, Low Carpet ",https://www.amazon.com/ROPVACNIC-Automatic-Self-Charging-Scheduled-Cleaning/dp/B0DFGWWYJF,https://m.media-amazon.com/images/I/61s8xfbyjAL._AC_UY218_.jpg,4.9,66,127.99,USD,$,False,1K+
"Shark AV753 ION Robot Vacuum, Tri-Brush System, Wifi Connected, 120 Min Runtime, Works with Alexa, Multi Surface Cleaning, Grey ",https://www.amazon.com/Shark-AV753-Connected-Runtime-Cleaning/dp/B08C6XGP4F,https://m.media-amazon.com/images/I/91G7PQlWf-L._AC_UY218_.jpg,4.1,17924,149.99,USD,$,False,300+
"iRobot Roomba Vac Robot Vacuum (Q011) - Power-Lifting Suction, Alexa, Quieter Cleaning Mode, Multi-Surface Cleaning, Cleans in Neat Rows, Easy to use, Self-Charging ",https://www.amazon.com/iRobot-Roomba-Essential-Robot-Vacuum/dp/B0CNKX4429,https://m.media-amazon.com/images/I/711eJ-EK7lL._AC_UY218_.jpg,4.2,24905,139.99,USD,$,False,1K+
"eufy Robot Vacuum 11S MAX, Super Thin, Powerful Suction, Quiet, Self-Charging Robotic Vacuum Cleaner, Cleans Hard Floors to Medium-Pile Carpets, Black ",https://www.amazon.com/eufy-Super-Thin-Super-Strong-Self-Charging-Medium-Pile/dp/B07R295MLS,https://m.media-amazon.com/images/I/7162dbcZW3L._AC_UY218_.jpg,4.3,66055,249.99,USD,$,False,6K+
"Shark AI Ultra Voice Control Robot Vacuum with Matrix Clean Navigation, Home Mapping, 60-Day Capacity, Self-Empty Base for Homes with Pets, Carpet & Hard Floors (Silver/Black) ",https://www.amazon.com/Shark-AV2511AE-Self-Empty-Capacity-Navigation/dp/B09T4YZGQR,https://m.media-amazon.com/images/I/61yQ2hur-PL._AC_UY218_.jpg,4.2,32256,405.66,USD,$,False,4K+
"Lefant Robot Vacuum M210 Pro, 2200Pa Suction,120 Mins Runtime, Self-Charging Slim Robotic Vacuum Cleaner, APP/Voice/WiFi/Alexa Control, Ideal for Pet Hair,Low-Pile Carpet, Hard Floor ",https://www.amazon.com/Lefant-Cleaner-Suction-Self-Charging-Low-Pile/dp/B0CYPVS3FF,https://m.media-amazon.com/images/I/613Id2iOHeL._AC_UY218_.jpg,4.3,2287,209.99,USD,$,False,2K+
"Lefant Robot Vacuum Cleaner, Strong Suction, 120 Mins Runtime, Slim, Low Noise, Automatic Self-Charging, Wi-Fi/App/Alexa Control, Ideal for Pet Hair Hard Floor and Daily Cleaning, M210 ",https://www.amazon.com/Lefant-M210-Cleaner-Automatic-Self-Charging/dp/B08R9LK9K3,https://m.media-amazon.com/images/I/61SeSmghSVL._AC_UY218_.jpg,4.1,13711,88.88,USD,$,False,2K+
"iRobot Roomba Vac Robot Vacuum (Q0120) - Easy to use, Power-Lifting Suction, Multi-Surface Cleaning, Smart Navigation Cleans in Neat Rows, Self-Charging, Alexa ",https://www.amazon.com/iRobot-Roomba-Robot-Vacuum-Q0120/dp/B0CVM8TXHP,https://m.media-amazon.com/images/I/51tQju6I1sL._AC_UY218_.jpg,4.4,49210,224.99,USD,$,False,6K+
"Robot Vacuum Cleaner with 3000Pa Suction,Personalized Cleaning Settings,Auto Self-Charging Robotic Vacuum,Carpet Booster,App/Alexa/Remote Control, Ideal for Pet Hair/Hard Floor/Carpet,R7 ",https://www.amazon.com/Airzeen-Personalized-Cleaning-Self-Charging-R7/dp/B0D6V97Z6H,https://m.media-amazon.com/images/I/817GMeCEkYL._AC_UY218_.jpg,4.9,103,149.99,USD,$,False,900+
