asin,is_sponsored,brand,name,url,thumbnail,rating,total_ratings,price,list_price,price_per_unit,typical_price,currency,currency_symbol,offer_info,is_prime,shipping_info,retailer_badge,seller_info,more_buying_choices,past_month_bought
B0CVM8TXHP,False,,"iRobot Roomba Vac Robot Vacuum (Q0120) - Easy to use, Power-Lifting Suction, Multi-Surface Cleaning, Smart Navigation Cleans in Neat Rows, Self-Charging, Alexa ",https://www.amazon.com/iRobot-Roomba-Robot-Vacuum-Q0120/dp/B0CVM8TXHP,https://m.media-amazon.com/images/I/711eJ-EK7lL._AC_UY218_.jpg,,49325.0,224.99,249.99,,,USD,$,,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14']",Overall Pick,,"{'heading': 'More Buying Choices', 'offer_text': '$143.04(8+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B0CVM8TXHP/ref=sr_1_1_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-1'}",6K+
B0D87G9YYF,False,,"Robot Vacuum and Mop Combo, 2 in 1 Mopping Robotic Vacuum with Schedule, App/Bluetooth/Voice, Max Suction 3200Pa, Self-Charging Robot Vacuum Cleaner, Slim, Ideal for Pet Hair, Hard Floor, Carpet ",https://www.amazon.com/Robot-Vacuum-Mop-Combo-Self-Charging/dp/B0D87G9YYF,https://m.media-amazon.com/images/I/81Yf5nFEGeL._AC_UY218_.jpg,,1894.0,499.99,,,,USD,$,$100.00 off coupon appliedSave $100.00with coupon,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14', '$100.00 off coupon appliedSave $100.00with coupon']",,,,3K+
B07R295MLS,False,,"eufy Robot Vacuum 11S MAX, Super Thin, Powerful Suction, Quiet, Self-Charging Robotic Vacuum Cleaner, Cleans Hard Floors to Medium-Pile Carpets, Black ",https://www.amazon.com/eufy-Super-Thin-Super-Strong-Self-Charging-Medium-Pile/dp/B07R295MLS,https://m.media-amazon.com/images/I/7162dbcZW3L._AC_UY218_.jpg,,66506.0,199.99,249.99,,,USD,$,$60.00 off coupon appliedSave $60.00with coupon,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14', '$60.00 off coupon appliedSave $60.00with coupon']",,,,6K+
B0CNKX4429,False,,"iRobot Roomba Vac Robot Vacuum (Q011) - Power-Lifting Suction, Alexa, Quieter Cleaning Mode, Multi-Surface Cleaning, Cleans in Neat Rows, Easy to use, Self-Charging ",https://www.amazon.com/iRobot-Roomba-Essential-Robot-Vacuum/dp/B0CNKX4429,https://m.media-amazon.com/images/I/711eJ-EK7lL._AC_UY218_.jpg,,25208.0,139.99,,,249.99,USD,$,,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14']",Limited time deal,,"{'heading': 'More Buying Choices', 'offer_text': '$112.04(19+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B0CNKX4429/ref=sr_1_4_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-4'}",5K+
B0C4N37V2Z,False,,"iRobot Roomba Combo i5+ Self-Emptying Robot Vacuum and Mop, Clean by Room with Smart Mapping, Empties Itself for Up to 60 Days, Works with Alexa, Personalized Cleaning OS ",https://www.amazon.com/iRobot-Self-Emptying-Mapping-Personalized-Cleaning/dp/B0C4N37V2Z,https://m.media-amazon.com/images/I/813GaWpuEQL._AC_UY218_.jpg,,19287.0,299.0,549.99,,,USD,$,,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14']",Limited time deal,,"{'heading': 'More Buying Choices', 'offer_text': '$134.13(18+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B0C4N37V2Z/ref=sr_1_5_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-5'}",1K+
B08C6XGP4F,False,,"Shark AV753 ION Robot Vacuum, Tri-Brush System, Wifi Connected, 120 Min Runtime, Works with Alexa, Multi Surface Cleaning, Grey ",https://www.amazon.com/Shark-AV753-Connected-Runtime-Cleaning/dp/B08C6XGP4F,https://m.media-amazon.com/images/I/91G7PQlWf-L._AC_UY218_.jpg,,17979.0,149.99,229.99,,,USD,$,,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14']",,,"{'heading': 'More Buying Choices', 'offer_text': '$68.99(5+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B08C6XGP4F/ref=sr_1_6_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-6'}",2K+
B08QZVSC8D,False,,"Shark AV2501AE AI Robot Vacuum with XL HEPA Self-Empty Base, Bagless, 60-Day Capacity, LIDAR Navigation, Perfect for Pet Hair, Compatible with Alexa, Wi-Fi Connected, Carpet & Hard Floor, Black ",https://www.amazon.com/Shark-Mapping-Capacity-Bagless-AV2501AE/dp/B08QZVSC8D,https://m.media-amazon.com/images/I/71HzbCsnQmL._AC_UY218_.jpg,,3362.0,299.99,,,,USD,$,,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14']",,,"{'heading': 'More Buying Choices', 'offer_text': '$246.29(13+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B08QZVSC8D/ref=sr_1_7_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-7'}",800+
B0D2XXSPCR,False,,"Robot Vacuum and Mop Combo,4200Pa Powerful Robotic Vacuum Cleaner with Self-Charging, Home Automatic Robot Aspiradora for Hardwood Floor, Low Carpet, Pet Hair, App&Voice&Remote Control ",https://www.amazon.com/Tipdiy-Powerful-Self-Charging-Automatic-Aspiradora/dp/B0D2XXSPCR,https://m.media-amazon.com/images/I/71zANbbBZpL._AC_UY218_.jpg,,58.0,149.99,,,,USD,$,$35.00 off coupon appliedSave $35.00with coupon,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14', '$35.00 off coupon appliedSave $35.00with coupon']",,,,1K+
B0D6VMDLZ7,False,,"Robot Vacuum, 3 in 1 Robotic Vacuum Cleaner with Self-Emptying Station for 60 Days, LiDAR Navigation, 3500Pa Suction, WiFi/APP/Alexa, Ideal for Pet Hair, Carpet and Hard Floor ",https://www.amazon.com/Laresar-Clean-Robotic-Self-Emptying-Navigation/dp/B0D6VMDLZ7,https://m.media-amazon.com/images/I/81WwaXCnL3L._AC_UY218_.jpg,,94.0,379.99,,,469.99,USD,$,$112.00 off coupon appliedSave $112.00with coupon,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14', '$112.00 off coupon appliedSave $112.00with coupon']",,,,700+
B0D3TPT7Z4,False,,"R1 Robot Vacuum Cleaner - 3200Pa Powerful Suction, Tangle-Free, 140min Runtime, Scheduled Cleaning, Remote/APP/Alexa Voice Control, 600mL Dustbin for Pet Hair, Home, Carpet, Hard Floor ",https://www.amazon.com/YONNDER-R1-Robot-Vacuum-Cleaner/dp/B0D3TPT7Z4,https://m.media-amazon.com/images/I/71WxxtArvqL._AC_UY218_.jpg,,192.0,159.99,199.99,,,USD,$,$40.00 off coupon appliedSave $40.00with coupon,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14', '$40.00 off coupon appliedSave $40.00with coupon']",,,"{'heading': 'More Buying Choices', 'offer_text': '$112.31(3 used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B0D3TPT7Z4/ref=sr_1_10_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-10'}",700+
