year,month,day,price
2022,05,08,581.47
2022,06,06,599
2022,06,30,499.99
2022,07,16,599.99
2022,08,18,499.99
2022,10,18,599.99
2022,10,25,495
2022,11,4,599
2022,11,20,299
2022,12,5,599
2022,12,7,499
2022,12,19,449
2022,12,21,298
2023,1,4,599
2023,2,20,299
2023,2,23,599
2023,2,27,299
2023,2,28,299
2023,3,4,599.99
2023,3,16,599
2023,7,2,599.99
2023,7,13,299.99
2023,7,15,599.99
2023,9,5,349.99
2023,9,18,599
2023,10,7,298
2023,10,19,599.99
2023,10,26,599
2023,11,23,299.99
2024,1,17,298
2024,2,12,329.99
2024,2,15,529.99
2024,2,19,599
2024,2,28,329.99
2024,2,28,329.99
2024,3,13,599
2024,3,24,669
2024,3,25,668
2024,4,6,667
2024,4,10,329.99
2024,4,23,483.99
2024,4,25,599
2024,5,2,681.99
2024,5,12,680.99
2024,5,15,679.99
2024,5,19,599
2024,5,20,349.99
2024,6,3,599
2024,6,15,299.99
2024,6,22,599
2024,8,4,349.99
2024,8,19,599
2024,9,18,329.99
2024,9,30,599
2024,11,18,349.99

