"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime"
1,1,1,"B0BN5F6MJY",false,61.99,"USD",0,0,0,0,4.2,"https://www.amazon.com/dp/B0BN5F6MJY",0,false,false,false,false
1,3,2,"B00JH98GR4",false,0,"USD",0,0,0,0,4.4,"https://www.amazon.com/dp/B00JH98GR4",0,false,false,true,false
1,4,3,"B0C69ZFWM9",true,149.99,"USD",279.99,130,46.43,0,4.3,"https://www.amazon.com/dp/B0C69ZFWM9",0,false,true,false,false
1,5,4,"B0B6D6GML1",true,59.99,"USD",79.99,20,25,0,4.3,"https://www.amazon.com/dp/B0B6D6GML1",0,false,false,false,false
1,6,5,"B09V5NPHP3",true,49.99,"USD",59.99,10,16.67,0,4.4,"https://www.amazon.com/dp/B09V5NPHP3",0,false,false,false,false
2,1,6,"B0C69ZFWM9",true,149.99,"USD",279.99,130,46.43,0,4.3,"https://www.amazon.com/dp/B0C69ZFWM9",0,false,false,false,false
2,2,7,"B0C4YQ8CMC",true,47.99,"USD",59.99,12,20,0,3.5,"https://www.amazon.com/dp/B0C4YQ8CMC",0,false,false,false,false
2,3,8,"B0DJBNGLM5",true,127.49,"USD",165.99,38.5,23.19,0,5,"https://www.amazon.com/dp/B0DJBNGLM5",0,false,false,false,false
2,4,9,"B08THQLQP3",true,29.99,"USD",39.99,10,25.01,0,4.1,"https://www.amazon.com/dp/B08THQLQP3",0,false,false,false,false
2,5,10,"B09LPCZ9FF",true,119.99,"USD",175.09,55.1,31.47,0,4.5,"https://www.amazon.com/dp/B09LPCZ9FF",0,false,false,false,false
2,6,11,"B0D41NH8ZJ",true,66.48,"USD",129.99,63.51,48.86,0,4,"https://www.amazon.com/dp/B0D41NH8ZJ",0,false,false,false,false
2,7,12,"B089WZMB7R",true,44,"USD",54.99,10.99,19.99,0,4.3,"https://www.amazon.com/dp/B089WZMB7R",0,false,false,false,false
3,1,13,"B0C4YQ8CMC",true,47.99,"USD",59.99,12,20,0,3.5,"https://www.amazon.com/dp/B0C4YQ8CMC",0,false,false,false,false
3,2,14,"B0DMF1FWPJ",false,79.99,"USD",0,0,0,0,5,"https://www.amazon.com/dp/B0DMF1FWPJ",0,false,false,false,false
3,3,15,"B075F4YTVF",true,209.99,"USD",249.99,40,16,0,4.2,"https://www.amazon.com/dp/B075F4YTVF",0,false,false,false,false
3,4,16,"B07P97CD5T",false,0,"USD",0,0,0,0,4.5,"https://www.amazon.com/dp/B07P97CD5T",0,false,false,false,false
3,5,17,"B0DF2J454H",false,94.99,"USD",0,0,0,0,5,"https://www.amazon.com/dp/B0DF2J454H",0,false,false,false,false
4,1,18,"B0CTZSN718",true,104.99,"USD",149.99,45,30,0,4.2,"https://www.amazon.com/dp/B0CTZSN718",0,false,false,false,false
4,2,19,"B0C4YQ8CMC",true,47.99,"USD",59.99,12,20,0,3.5,"https://www.amazon.com/dp/B0C4YQ8CMC",0,false,false,false,false
4,3,20,"B07FX7Z3NL",true,239.99,"USD",279.99,40,14.29,0,4.5,"https://www.amazon.com/dp/B07FX7Z3NL",0,false,false,false,false
4,4,21,"B00C351GBC",true,129.99,"USD",159.99,30,18.75,0,4.2,"https://www.amazon.com/dp/B00C351GBC",0,false,false,false,false
4,5,22,"B0828C2TDB",false,0,"USD",0,0,0,0,4.5,"https://www.amazon.com/dp/B0828C2TDB",0,false,false,false,false
4,6,23,"B0DDZVKVNJ",true,299.99,"USD",429.99,130,30.23,0,4.7,"https://www.amazon.com/dp/B0DDZVKVNJ",0,false,false,false,false
5,1,24,"B0C4YQ8CMC",true,47.99,"USD",59.99,12,20,0,3.5,"https://www.amazon.com/dp/B0C4YQ8CMC",0,false,false,false,false
5,2,25,"B0D6TTRTPL",true,259.99,"USD",399.99,140,35,0,4.3,"https://www.amazon.com/dp/B0D6TTRTPL",0,false,false,false,false
5,3,26,"B0DCJMWDDN",true,59.99,"USD",99.99,40,40,0,4.3,"https://www.amazon.com/dp/B0DCJMWDDN",0,false,false,false,false
5,4,27,"B0CWB3TF7X",true,107.99,"USD",119.99,12,10,0,4.4,"https://www.amazon.com/dp/B0CWB3TF7X",0,false,false,false,false
5,5,28,"B0D7M543PC",true,99.99,"USD",199.99,100,50,0,4.8,"https://www.amazon.com/dp/B0D7M543PC",0,false,false,false,false
6,1,29,"B0CBVHLV75",true,239.2,"USD",299.99,60.79,20.26,0,4.6,"https://www.amazon.com/dp/B0CBVHLV75",0,false,false,false,false
6,2,30,"B0C4YQ8CMC",true,47.99,"USD",59.99,12,20,0,3.5,"https://www.amazon.com/dp/B0C4YQ8CMC",0,false,false,false,false
6,3,31,"B0DK1Q6BV5",true,99.99,"USD",169.99,70,41.18,0,5,"https://www.amazon.com/dp/B0DK1Q6BV5",0,false,false,false,false
6,4,32,"B0D5B5BJ8M",true,39.99,"USD",49.99,10,20,0,4.2,"https://www.amazon.com/dp/B0D5B5BJ8M",0,false,false,false,false
6,5,33,"B098SDVFVM",false,149.99,"USD",0,0,0,0,4,"https://www.amazon.com/dp/B098SDVFVM",0,false,false,false,false
7,1,34,"B0C4YQ8CMC",true,47.99,"USD",59.99,12,20,0,3.5,"https://www.amazon.com/dp/B0C4YQ8CMC",0,false,false,false,false
7,2,35,"B0D8PH2KT7",true,97.99,"USD",139.99,42,30,0,4.5,"https://www.amazon.com/dp/B0D8PH2KT7",0,false,false,false,false
7,3,36,"B0CZHL6VM7",true,54.98,"USD",109.99,55.01,50.01,0,4.1,"https://www.amazon.com/dp/B0CZHL6VM7",0,false,false,false,false
7,4,37,"B0D9W83DF5",true,39.99,"USD",149.99,110,73.34,0,4.7,"https://www.amazon.com/dp/B0D9W83DF5",0,false,false,false,false
7,5,38,"B0D5H44PHQ",true,99.99,"USD",129.99,30,23.08,0,4.4,"https://www.amazon.com/dp/B0D5H44PHQ",0,false,false,false,false
7,6,39,"B0CM6D5TRZ",false,95.99,"USD",0,0,0,0,3.4,"https://www.amazon.com/dp/B0CM6D5TRZ",0,false,false,false,false
1,7,40,"B08F5HPVQ6",true,136.89,"USD",236.89,100,42.21,0,4.3,"https://www.amazon.com/dp/B08F5HPVQ6",0,false,false,false,false
1,9,41,"B00NGVF4II",true,119.99,"USD",249.99,130,52,0,4.5,"https://www.amazon.com/dp/B00NGVF4II",0,false,false,false,false
1,10,42,"B0CB6B2JWG",true,149.99,"USD",199.99,50,25,0,4.4,"https://www.amazon.com/dp/B0CB6B2JWG",0,false,false,false,false
1,12,43,"B0C4YQ8CMC",true,47.99,"USD",59.99,12,20,0,3.5,"https://www.amazon.com/dp/B0C4YQ8CMC",0,false,false,false,false
1,13,44,"B0B2VTZ432",true,249.99,"USD",499.99,250,50,0,4.4,"https://www.amazon.com/dp/B0B2VTZ432",0,false,false,false,false
1,14,45,"B08TT4YHG1",true,149.99,"USD",229.99,80,34.78,0,4.5,"https://www.amazon.com/dp/B08TT4YHG1",0,false,false,false,false
1,15,46,"B00DFBDALC",true,99.99,"USD",249.99,150,60,0,4.5,"https://www.amazon.com/dp/B00DFBDALC",0,false,false,false,false
1,16,47,"B0CT9552BL",false,465,"USD",0,0,0,0,4.2,"https://www.amazon.com/dp/B0CT9552BL",0,false,false,false,false
1,17,48,"B09YM1ZPR2",true,66.99,"USD",89.99,23,25.56,0,4.4,"https://www.amazon.com/dp/B09YM1ZPR2",0,false,false,false,false
1,18,49,"B07S652B12",true,149.99,"USD",259.99,110,42.31,0,4.3,"https://www.amazon.com/dp/B07S652B12",0,false,false,false,false
1,19,50,"B00X7R1FZ2",true,199.99,"USD",319.99,120,37.5,0,4.5,"https://www.amazon.com/dp/B00X7R1FZ2",0,false,false,false,false
1,20,51,"B0D9QMMHVZ",true,87.99,"USD",139.99,52,37.15,0,4.6,"https://www.amazon.com/dp/B0D9QMMHVZ",0,false,false,false,false
1,21,52,"B0DC6PCJCC",true,79.99,"USD",99.99,20,20,0,4.7,"https://www.amazon.com/dp/B0DC6PCJCC",0,false,false,false,false
1,22,53,"B09LNHL7JN",true,99.03,"USD",139.04,40.01,28.78,0,4.5,"https://www.amazon.com/dp/B09LNHL7JN",0,false,false,false,false
2,8,54,"B001NDNV18",true,137.5,"USD",228.99,91.49,39.95,0,4.3,"https://www.amazon.com/dp/B001NDNV18",0,false,false,false,false
2,9,55,"B08F5HPVQ6",true,136.89,"USD",236.89,100,42.21,0,4.3,"https://www.amazon.com/dp/B08F5HPVQ6",0,false,false,false,false
2,10,56,"B06ZY7BTWM",false,33,"USD",0,0,0,0,4.3,"https://www.amazon.com/dp/B06ZY7BTWM",0,false,false,true,false
2,11,57,"B0CQFQ96SJ",false,36.99,"USD",0,0,0,0,3.7,"https://www.amazon.com/dp/B0CQFQ96SJ",0,false,false,false,false
2,12,58,"B0CPLK6GCR",true,79.99,"USD",99.99,20,20,0,4.1,"https://www.amazon.com/dp/B0CPLK6GCR",0,false,false,false,false
2,13,59,"B0D54QN5JZ",true,119.99,"USD",209.99,90,42.86,0,4.7,"https://www.amazon.com/dp/B0D54QN5JZ",0,false,false,false,false
2,14,60,"B083JBZXYS",false,69.99,"USD",0,0,0,0,4.2,"https://www.amazon.com/dp/B083JBZXYS",0,false,false,false,false
2,15,61,"B0BFJP4BDM",true,99.99,"USD",129.99,30,23.08,0,4.5,"https://www.amazon.com/dp/B0BFJP4BDM",0,false,false,false,false
2,16,62,"B0D62RRKCT",true,99.99,"USD",149.99,50,33.34,0,4.4,"https://www.amazon.com/dp/B0D62RRKCT",0,false,false,false,false
2,17,63,"B0DH2PLHH4",true,79.99,"USD",149.99,70,46.67,0,4.8,"https://www.amazon.com/dp/B0DH2PLHH4",0,false,false,false,false
2,18,64,"B09T4YZGQR",true,299.99,"USD",599,299.01,49.92,0,4.2,"https://www.amazon.com/dp/B09T4YZGQR",0,false,false,false,false
2,19,65,"B0C7RH18GR",true,64,"USD",89.99,25.99,28.88,0,4.4,"https://www.amazon.com/dp/B0C7RH18GR",0,false,false,false,false
2,20,66,"B0D5H5JVGH",true,169.99,"USD",209.99,40,19.05,0,4.8,"https://www.amazon.com/dp/B0D5H5JVGH",0,false,false,false,false
